,index,Datetime,code,name,bankuai,expext
3401,866,2025-01-27,688799,华纳药厂,化学制药,2.2612944
3402,1966,2025-01-27,605589,圣泉集团,化学制品,2.2611408
3403,1548,2025-01-27,301098,金埔园林,工程建设,2.259545
3404,441,2025-01-27,2671,龙泉股份,水泥建材,2.2580624
3405,2063,2025-01-27,600221,海航控股,航空机场,2.2544787
3406,1126,2025-01-27,603903,中持股份,环保行业,2.2535489
3407,4256,2025-01-27,605123,派克新材,通用设备,2.2519395
3408,120,2025-01-27,600226,亨通股份,农药兽药,2.251102
3409,3465,2025-01-27,300428,立中集团,汽车零部件,2.2510006
3410,1167,2025-01-27,300800,力合科技,环保行业,2.2496388
3411,4234,2025-01-27,2639,雪人股份,通用设备,2.2484124
3412,3896,2025-01-27,688011,新光光电,光学光电子,2.2482321
3413,1146,2025-01-27,601330,绿色动力,环保行业,2.2461667
3414,4720,2025-01-27,2179,中航光电,电子元件,2.2459745
3415,4045,2025-01-27,300259,新天科技,仪器仪表,2.2454963
3416,1391,2025-01-27,603721,中广天择,文化传媒,2.2436514
3417,3899,2025-01-27,301379,天山电子,光学光电子,2.2421107
3418,2413,2025-01-27,2186,全 聚 德,旅游酒店,2.2413418
3419,1734,2025-01-27,9,中国宝安,综合行业,2.2406683
3420,3871,2025-01-27,2955,鸿合科技,光学光电子,2.2385507
3421,916,2025-01-27,688221,前沿生物-U,化学制药,2.2384973
3422,2636,2025-01-27,300218,安利股份,塑料制品,2.23829
3423,3755,2025-01-27,688128,中国电研,专用设备,2.2378297
3424,1013,2025-01-27,1234,泰慕士,纺织服装,2.2362232
3425,1711,2025-01-27,949,新乡化纤,化纤行业,2.2360132
3426,183,2025-01-27,898,鞍钢股份,钢铁行业,2.2359893
3427,1846,2025-01-27,603968,醋化股份,化学制品,2.235706
3428,4428,2025-01-27,300743,天地数码,非金属材料,2.2349029
3429,2021,2025-01-27,600338,西藏珠峰,有色金属,2.2347808
3430,1663,2025-01-27,688136,科兴制药,生物制品,2.234392
3431,4130,2025-01-27,600876,凯盛新能,光伏设备,2.2340565
3432,2566,2025-01-27,600104,上汽集团,汽车整车,2.2332594
3433,810,2025-01-27,301290,东星医疗,医疗器械,2.2323399
3434,2118,2025-01-27,300533,冰川网络,游戏,2.2318065
3435,2522,2025-01-27,2097,山河智能,工程机械,2.2307887
3436,2436,2025-01-27,90,天健集团,房地产开发,2.230288
3437,2256,2025-01-27,895,双汇发展,食品饮料,2.230154
3438,3328,2025-01-27,300569,天能重工,风电设备,2.229251
3439,1858,2025-01-27,2054,德美化工,化学制品,2.227798
3440,4477,2025-01-27,2079,苏州固锝,半导体,2.227652
3441,4658,2025-01-27,603890,春秋电子,消费电子,2.227354
3442,925,2025-01-27,605177,东亚药业,化学制药,2.226807
3443,1058,2025-01-27,301088,戎美股份,纺织服装,2.2259057
3444,2371,2025-01-27,2984,森麒麟,橡胶制品,2.2259057
3445,643,2025-01-27,1323,慕思股份,家用轻工,2.2255003
3446,282,2025-01-27,603939,益丰药房,医药商业,2.2250028
3447,2672,2025-01-27,333,美的集团,家电行业,2.2246928
3448,2408,2025-01-27,601888,中国中免,旅游酒店,2.2240162
3449,3734,2025-01-27,300402,宝色股份,专用设备,2.223125
3450,3893,2025-01-27,2106,莱宝高科,光学光电子,2.2225811
3451,2565,2025-01-27,301039,中集车辆,汽车整车,2.2225409
3452,4247,2025-01-27,688455,科捷智能,通用设备,2.2177145
3453,3456,2025-01-27,2488,金固股份,汽车零部件,2.2176476
3454,2274,2025-01-27,600887,伊利股份,食品饮料,2.2167592
3455,92,2025-01-27,600792,云煤能源,煤炭行业,2.2162585
3456,678,2025-01-27,683,远兴能源,化学原料,2.2161603
3457,4214,2025-01-27,2871,伟隆股份,通用设备,2.2133887
3458,2910,2025-01-27,600517,国网英大,多元金融,2.2132382
3459,2927,2025-01-27,2212,天融信,软件开发,2.2124887
3460,2628,2025-01-27,300230,永利股份,塑料制品,2.2123919
3461,4221,2025-01-27,301125,腾亚精工,通用设备,2.2122235
3462,4852,2025-01-27,300870,欧陆通,电源设备,2.211213
3463,811,2025-01-27,300813,泰林生物,医疗器械,2.2111626
3464,1824,2025-01-27,600547,山东黄金,贵金属,2.2097335
3465,1759,2025-01-27,600660,福耀玻璃,玻璃玻纤,2.209559
3466,4226,2025-01-27,301317,鑫磊股份,通用设备,2.2088885
3467,3655,2025-01-27,603300,海南华铁,专用设备,2.2055924
3468,2553,2025-01-27,600809,山西汾酒,酿酒行业,2.205503
3469,2438,2025-01-27,600639,浦东金桥,房地产开发,2.205071
3470,185,2025-01-27,601969,海南矿业,钢铁行业,2.204807
3471,3503,2025-01-27,603040,新坐标,汽车零部件,2.2046492
3472,1563,2025-01-27,601133,柏诚股份,工程建设,2.2034287
3473,3637,2025-01-27,1239,永达股份,专用设备,2.2025049
3474,147,2025-01-27,600282,南钢股份,钢铁行业,2.2021785
3475,2379,2025-01-27,2442,龙星科技,橡胶制品,2.2021742
3476,2600,2025-01-27,600143,金发科技,塑料制品,2.2020385
3477,389,2025-01-27,600350,山东高速,铁路公路,2.2015915
3478,1867,2025-01-27,603867,新化股份,化学制品,2.2010446
3479,592,2025-01-27,600433,冠豪高新,造纸印刷,2.1994205
3480,2277,2025-01-27,603102,百合股份,食品饮料,2.1982327
3481,2064,2025-01-27,600115,中国东航,航空机场,2.1965294
3482,4131,2025-01-27,301046,能辉科技,光伏设备,2.1961927
3483,2310,2025-01-27,603288,海天味业,食品饮料,2.1958365
3484,558,2025-01-27,603739,蔚蓝生物,农牧饲渔,2.1955087
3485,3009,2025-01-27,301179,泽宇智能,软件开发,2.1931171
3486,3,2025-01-27,601963,重庆银行,银行,2.1915853
3487,1761,2025-01-27,600586,金晶科技,玻璃玻纤,2.1905468
3488,1472,2025-01-27,603569,长久物流,物流行业,2.1901324
3489,4490,2025-01-27,600877,电科芯片,半导体,2.1896958
3490,3664,2025-01-27,1256,炜冈科技,专用设备,2.189693
3491,2751,2025-01-27,600861,北京人力,专业服务,2.18862
3492,93,2025-01-27,601699,潞安环能,煤炭行业,2.1874235
3493,3403,2025-01-27,2725,跃岭股份,汽车零部件,2.1810083
