,Datetime,code,name,expext
6269,2025-01-27,718,苏宁环球,0.022936255
6270,2025-01-24,600376,首开股份,0.022931427
6271,2025-01-27,603580,艾艾精工,0.022930622
6272,2025-01-27,603219,富佳股份,0.022930354
6273,2025-01-24,688182,灿勤科技,0.022925049
6274,2025-01-23,688306,均普智能,0.022923648
6275,2025-01-27,300369,绿盟科技,0.022921726
6276,2025-01-24,300955,嘉亨家化,0.0229159
6277,2025-01-24,530,冰山冷热,0.022913978
6278,2025-01-24,2,万  科Ａ,0.022911116
6279,2025-01-24,2906,华阳集团,0.022907242
6280,2025-01-27,300575,中旗股份,0.022905365
6281,2025-01-24,603399,永杉锂业,0.022902891
6282,2025-01-24,600841,动力新科,0.02290149
6283,2025-01-24,603297,永新光学,0.022894517
6284,2025-01-27,967,盈峰环境,0.022888795
6285,2025-01-24,1339,智微智能,0.022888258
6286,2025-01-24,603018,华设集团,0.022887588
6287,2025-01-27,605208,永茂泰,0.02288559
6288,2025-01-24,688679,通源环境,0.02288194
6289,2025-01-23,300352,北信源,0.022870585
6290,2025-01-24,603366,日出东方,0.02286686
6291,2025-01-27,600326,西藏天路,0.022865102
6292,2025-01-24,300289,利德曼,0.022864312
6293,2025-01-27,601788,光大证券,0.022862375
6294,2025-01-23,300776,帝尔激光,0.02285783
6295,2025-01-27,688376,美埃科技,0.022853613
6296,2025-01-23,300990,同飞股份,0.02284345
6297,2025-01-23,2549,凯美特气,0.022839382
6298,2025-01-23,688255,凯尔达,0.022838399
6299,2025-01-27,1215,千味央厨,0.02283281
6300,2025-01-23,600839,四川长虹,0.022829935
6301,2025-01-23,603916,苏博特,0.022828907
6302,2025-01-23,2622,皓宸医疗,0.022824958
6303,2025-01-23,688562,航天软件,0.02281648
6304,2025-01-27,601111,中国国航,0.02281642
6305,2025-01-23,600865,百大集团,0.02281101
6306,2025-01-27,600522,中天科技,0.022807375
6307,2025-01-24,2731,萃华珠宝,0.022798464
6308,2025-01-23,2198,嘉应制药,0.02279672
