,Datetime,code,name,bankuai,optimistic,pessimistic
267,2025-01-27,SZ.ZB_002188,中天服务,房地产服务,7.053693,-3.1937177
268,2025-01-27,SH.KC_301182,凯旺科技,消费电子,7.053427,-3.0955813
269,2025-01-27,SH.KC_300256,星星科技,消费电子,7.032172,-1.3137949
270,2025-01-27,SH.KC_688062,迈威生物-U,生物制品,7.0218725,-1.5891677
271,2025-01-27,SH.KC_301366,一博科技,电子元件,7.0192084,-2.8899016
272,2025-01-27,SZ.ZB_002578,闽发铝业,有色金属,7.0056214,-2.1597023
273,2025-01-27,SH.ZB_603291,联合水务,公用事业,7.002838,-2.8687723
274,2025-01-27,SZ.ZB_002193,如意集团,纺织服装,6.9959683,-2.317701
275,2025-01-27,SH.KC_300106,西部牧业,食品饮料,6.981079,-2.582222
276,2025-01-27,SZ.ZB_002799,环球印务,包装材料,6.9792256,-2.221428
277,2025-01-27,SH.KC_688258,卓易信息,互联网服务,6.9791064,-4.389185
278,2025-01-27,SH.ZB_603021,山东华鹏,玻璃玻纤,6.9585905,-3.0559924
279,2025-01-27,SH.KC_301325,曼恩斯特,电池,6.9496765,-3.451176
280,2025-01-27,SZ.ZB_002164,宁波东力,通用设备,6.9469795,-2.8160822
281,2025-01-27,SH.KC_300945,曼卡龙,珠宝首饰,6.9455876,-2.663595
282,2025-01-27,SH.KC_300437,清水源,化学制品,6.9413586,-1.4171243
283,2025-01-27,SH.KC_300694,蠡湖股份,汽车零部件,6.933643,-2.5833097
284,2025-01-27,SZ.ZB_002518,科士达,电源设备,6.933455,-2.967732
285,2025-01-27,SH.KC_300123,亚光科技,船舶制造,6.932424,-2.2052941
286,2025-01-27,SH.KC_300581,晨曦航空,航天航空,6.9275036,-1.971374
287,2025-01-27,SZ.ZB_000608,阳光股份,房地产服务,6.9194,-2.5271246
288,2025-01-27,SH.KC_300198,纳川股份,装修建材,6.911965,-2.3032374
289,2025-01-27,SH.KC_300255,常山药业,化学制药,6.9115148,-2.8467758
290,2025-01-27,SH.KC_300605,恒锋信息,软件开发,6.903346,-3.737649
291,2025-01-27,SZ.ZB_000833,粤桂股份,综合行业,6.8994684,-3.1433012
292,2025-01-27,SZ.ZB_002446,盛路通信,通信设备,6.8939133,-1.9013863
293,2025-01-27,SH.KC_300287,飞利信,互联网服务,6.880869,-3.3215926
294,2025-01-27,SZ.ZB_000564,供销大集,商业百货,6.87692,-1.9694314
295,2025-01-27,SH.KC_300748,金力永磁,小金属,6.8625016,-3.6308692
296,2025-01-27,SH.ZB_601515,东峰集团,包装材料,6.8577394,-1.8936466
297,2025-01-27,SH.KC_301210,金杨股份,电池,6.856446,-6.092833
298,2025-01-27,SH.ZB_603887,城地香江,互联网服务,6.8527536,-3.2695312
299,2025-01-27,SH.KC_301456,盘古智能,风电设备,6.8411546,-3.3473127
300,2025-01-27,SH.ZB_600666,奥瑞德,光学光电子,6.812085,-2.4376462
301,2025-01-27,SH.ZB_600624,复旦复华,综合行业,6.809719,-1.7383304
302,2025-01-27,SH.KC_300141,和顺电气,电网设备,6.7906065,-2.2049377
303,2025-01-27,SH.ZB_600698,湖南天雁,汽车零部件,6.781836,-1.9323595
304,2025-01-27,SH.ZB_603636,南威软件,互联网服务,6.779064,-2.8639965
305,2025-01-27,SZ.ZB_000518,四环生物,生物制品,6.77111,-1.9157225
306,2025-01-27,SZ.ZB_000720,新能泰山,电网设备,6.770848,-3.1409626
307,2025-01-27,SH.ZB_603511,爱慕股份,纺织服装,6.7668333,-1.4293486
308,2025-01-27,SH.KC_300583,赛托生物,化学制药,6.763081,-1.142796
309,2025-01-27,SH.KC_688700,东威科技,专用设备,6.7620173,-2.268147
310,2025-01-27,SZ.ZB_002117,东港股份,造纸印刷,6.7573113,-3.948272
311,2025-01-27,SH.KC_301326,捷邦科技,消费电子,6.7561016,-3.2061777
312,2025-01-27,SH.KC_300157,新锦动力,采掘行业,6.7536874,-2.9574502
313,2025-01-27,SH.ZB_603915,国茂股份,通用设备,6.7408485,-5.1935697
314,2025-01-27,SZ.ZB_002575,群兴玩具,房地产服务,6.723122,-2.8890772
315,2025-01-27,SZ.ZB_001330,博纳影业,文化传媒,6.7112045,-3.05963
316,2025-01-27,SH.KC_300147,香雪制药,中药,6.7079587,-2.323928
317,2025-01-27,SH.ZB_603922,金鸿顺,汽车零部件,6.706043,-2.8474493
318,2025-01-27,SH.ZB_603221,爱丽家居,塑料制品,6.7059145,-3.6712434
319,2025-01-27,SH.KC_688311,盟升电子,通信设备,6.69411,-1.6018384
320,2025-01-27,SZ.ZB_002723,小崧股份,家电行业,6.6885753,-2.907898
321,2025-01-27,SH.KC_688787,海天瑞声,互联网服务,6.688522,-6.8482203
322,2025-01-27,SH.KC_300278,华昌达,通用设备,6.6807075,-2.4850538
323,2025-01-27,SZ.ZB_002356,赫美集团,贸易行业,6.6757517,-2.48265
324,2025-01-27,SH.ZB_603070,万控智造,电网设备,6.673519,-3.4112554
325,2025-01-27,SH.ZB_603895,天永智能,专用设备,6.66783,-3.4772277
326,2025-01-27,SH.KC_300296,利亚德,光学光电子,6.6674275,-3.5333774
327,2025-01-27,SH.KC_300808,久量股份,光学光电子,6.6536264,-3.5664372
328,2025-01-27,SH.KC_688709,成都华微,半导体,6.6500587,-2.0456314
329,2025-01-27,SZ.ZB_002335,科华数据,电源设备,6.631653,-2.673015
