,index,Datetime,code,name,bankuai,expext
2748,812,2025-01-27,300246,宝莱特,医疗器械,-2.9875946
2749,4869,2025-01-27,300628,亿联网络,通信设备,-2.9876864
2750,4959,2025-01-27,300907,康平科技,电机,-2.9877925
2751,1504,2025-01-27,600239,云南城投,房地产服务,-2.987922
2752,1584,2025-01-27,2375,亚厦股份,装修装饰,-2.9880362
2753,1143,2025-01-27,688370,丛麟科技,环保行业,-2.9882362
2754,1745,2025-01-27,600612,老凤祥,珠宝首饰,-2.9884124
2755,664,2025-01-27,300640,德艺文创,家用轻工,-2.9885414
2756,4842,2025-01-27,688719,爱科赛博,电源设备,-2.988573
2757,4387,2025-01-27,601377,兴业证券,证券,-2.9888382
2758,2991,2025-01-27,603927,中科软,软件开发,-2.9889152
2759,1367,2025-01-27,603230,内蒙新华,文化传媒,-2.9891467
2760,429,2025-01-27,601992,金隅集团,水泥建材,-2.9891634
2761,2169,2025-01-27,300532,今天国际,互联网服务,-2.9896877
2762,2111,2025-01-27,300052,中青宝,游戏,-2.9897463
2763,150,2025-01-27,600581,八一钢铁,钢铁行业,-2.9901192
2764,1283,2025-01-27,301167,建研设计,工程咨询服务,-2.9902985
2765,1876,2025-01-27,688625,呈和科技,化学制品,-2.990426
2766,4755,2025-01-27,300936,中英科技,电子元件,-2.9907265
2767,3325,2025-01-27,300690,双一科技,风电设备,-2.9908183
2768,705,2025-01-27,600714,金瑞矿业,化学原料,-2.9920475
2769,2075,2025-01-27,2969,嘉美包装,包装材料,-2.9920514
2770,4498,2025-01-27,300373,扬杰科技,半导体,-2.992383
2771,2636,2025-01-27,300218,安利股份,塑料制品,-2.9928663
2772,3608,2025-01-27,300398,飞凯材料,电子化学品,-2.9928954
2773,2352,2025-01-27,605337,李子园,食品饮料,-2.992907
2774,2724,2025-01-27,603219,富佳股份,家电行业,-2.9930754
2775,2894,2025-01-27,300114,中航电测,航天航空,-2.993806
2776,2128,2025-01-27,2380,科远智慧,互联网服务,-2.994799
2777,3633,2025-01-27,600894,广日股份,专用设备,-2.9950807
2778,770,2025-01-27,688581,安杰思,医疗器械,-2.995236
2779,2108,2025-01-27,2174,游族网络,游戏,-2.9953542
2780,2289,2025-01-27,605567,春雪食品,食品饮料,-2.9965885
2781,2019,2025-01-27,3038,鑫铂股份,有色金属,-2.9967413
2782,2835,2025-01-27,300513,恒实科技,通信服务,-2.996807
2783,3737,2025-01-27,300411,金盾股份,专用设备,-2.9969766
2784,4711,2025-01-27,733,振华科技,电子元件,-2.9970133
2785,4569,2025-01-27,688262,国芯科技,半导体,-2.99712
2786,4549,2025-01-27,688484,南芯科技,半导体,-2.99733
2787,4721,2025-01-27,301359,东南电子,电子元件,-2.9973397
